데이터 추출일 : 2026-07-21 16:36:43
약국명,대표전화,도로명주소,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
21세기약국,054-452-2121,"경상북도 구미시 신시로 78, 1층 (송정동)",경상북도 구미시 송정동 27-11번지,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,10:00~23:00,10:00~23:00,10:30~23:30
24시약국,055-642-4006,"경상남도 통영시 안개로 9, 102호 (무전동)",경상남도 통영시 무전동 990-9 102호,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,14:00~23:00,
365 우리약국,061-333-8228,전남광주통합특별시 나주시 전력로 2 이화플라자 1층,전라남도 나주시 빛가람동 189-2 이화플라자 1층,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~23:00,09:00~23:00,09:00~24:00
365강남역약국,02-554-5628,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,09:00~23:00,09:00~23:00,09:00~23:00
365광주제일큰약국,062-373-1727,"전남광주통합특별시 서구 상무대로 879, 두왕빌딩 1층 (쌍촌동)",,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
365구름약국,031-309-8117,"경기도 수원시 장안구 경수대로 979, 2층 (송죽동)",,13:00~23:00,13:00~23:00,13:00~23:00,13:00~23:00,13:00~23:00,13:00~23:00,13:00~23:00,13:00~23:00
365녹십자약국,031-652-3307,경기도 평택시 중앙로 2 (통복동),,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,08:00~24:00,08:00~24:00,22:00~25:00
365매일약국,02-6012-0811,"서울특별시 동대문구 천호대로 301, 답십리역 지웰에스테이트 1층 103호 (답십리동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
365비타민약국,02-400-0526,"서울특별시 송파구 위례광장로 120, 상가동 1층 117호 (장지동, 위례중앙푸르지오1단지)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
365세심당약국,031-672-0365,"경기도 안성시 인지2길 6, 1층 (인지동)",,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,
365신정약국,070-4795-2511,"서울특별시 양천구 신목로 88, 1층 103호 (신정동)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,09:00~23:00,09:00~23:00
365약국,032-547-0365,"인천광역시 계양구 오조산로 1, 거승프라자 107호 (작전동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
365약국,031-794-0367,"경기도 하남시 미사강변중앙로 226, 우성르보아파크 112호 (망월동)",,09:00~21:30,09:00~21:30,09:00~21:30,09:00~22:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~23:00
365연산온누리약국,051-852-3574,"부산광역시 연제구 반송로 30, 석산빌딩 1층 일부호 (연산동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
